City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
101,Vallenar,CL,68.59,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
102,Sinamar,PH,75.58,clear sky,16.9,121.5667,Princess Resort
105,Touros,BR,79.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
107,Coari,BR,74.12,light rain,-4.085,-63.1414,HOTEL ALEX FLAT
108,Tambun,ID,88.41,haze,-6.2641,107.0712,Metland Hotel Bekasi
113,Bluff,NZ,58.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
116,Kruisfontein,ZA,68.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
117,Apango,MX,74.25,scattered clouds,17.7333,-99.3333,Agua Inmaculada Apango
118,Mount Isa,AU,83.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
119,Sola,VU,81.32,overcast clouds,-13.8833,167.55,Leumerus Bungalows
121,Kieta,PG,81.55,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
126,San Patricio,US,72.01,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
127,Sambava,MG,74.41,overcast clouds,-14.2667,50.1667,Melrose
128,Puerto Ayora,EC,74.55,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
129,Hithadhoo,MV,81.36,clear sky,-0.6,73.0833,Scoop Guest House
130,Kaitangata,NZ,53.71,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
132,Rawson,AR,67.51,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
133,Bikaner,IN,56.32,clear sky,28.0167,73.3,Karina Guest House
134,Victoria,HK,56.32,light rain,22.2855,114.1577,Mini Hotel Central
135,Sompeta,IN,71.31,few clouds,18.9333,84.6,Netaji's Home
139,Bilma,NE,54.09,clear sky,18.6853,12.9164,Expeditions Ténére voyages
140,Bredasdorp,ZA,59.29,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
143,Domoni,KM,79.16,light rain,-12.2569,44.5319,Al Djadid
147,Hilo,US,77.25,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
148,Farafangana,MG,73.29,scattered clouds,-22.8167,47.8333,Miarina
151,Mabopane,ZA,73.15,clear sky,-25.4977,28.1007,Wolf Residence
154,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
158,Taltal,CL,68.47,clear sky,-25.4,-70.4833,Residencial Karime
161,Negara,ID,83.95,clear sky,-8.3151,114.6025,Villa Maya West Bali
162,Faanui,PF,81.37,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
163,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
164,Moron,AR,80.98,light rain,-34.6534,-58.6198,Hotel Morón
165,Kuantan,MY,82.51,light rain,3.8077,103.326,Hotel Sentral Kuantan
167,Kavaratti,IN,79.72,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
169,Saint-Joseph,RE,77.38,heavy intensity rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
171,Port Lincoln,AU,66.63,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
172,Progreso,MX,82.51,clear sky,21.2833,-89.6667,Playa Linda Hotel
173,Ancud,CL,57.42,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
174,Abu Dhabi,AE,64.96,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
175,Sur,OM,70.65,clear sky,22.5667,59.5289,Sur Plaza Hotel
176,Mabaruma,GY,73.45,clear sky,8.2,-59.7833,Monty Brooms Guest House
177,Kalabo,ZM,66.54,moderate rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
178,Nova Venecia,BR,73.9,overcast clouds,-18.7106,-40.4006,Hotel Ferrari - Rede Ferrari
181,Grand Gaube,MU,79.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
183,Namibe,AO,71.26,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
184,Isangel,VU,89.71,broken clouds,-19.55,169.2667,Tanna Lodge
185,Te Anau,NZ,60.93,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
186,Alice Springs,AU,71.15,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
187,Mahebourg,MU,79.25,heavy intensity rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
188,Dabat,ET,53.04,few clouds,12.9842,37.765,Haymanot hotel
192,Arraial Do Cabo,BR,75.4,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
194,Bairiki,KI,84.2,light rain,1.3292,172.9752,Tarawa Boutique Hotel
196,Carnarvon,AU,98.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
197,Vao,NC,78.76,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
198,Sao Filipe,CV,73.78,clear sky,14.8961,-24.4956,Hotel Xaguate
