City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Teguise,ES,2022-02-02 06:48:35,29.0605,-13.564,61.02,55,20,10.36
131,Yasenskaya,RU,2022-02-02 06:48:36,46.3592,38.269,39.15,87,100,12.24
132,Axim,GH,2022-02-02 06:48:36,4.8699,-2.2405,77.14,86,74,3.85
133,Bilibino,RU,2022-02-02 06:48:37,68.0546,166.4372,-2.27,58,7,6.73
134,Mastic Beach,US,2022-02-02 06:48:37,40.7668,-72.8521,34.99,84,40,4.0
135,Yar-Sale,RU,2022-02-02 06:48:38,66.8333,70.8333,-12.93,98,34,7.96
136,Bauchi,NG,2022-02-02 06:48:38,10.5,10.0,60.91,18,5,3.36
137,Smirnykh,RU,2022-02-02 06:49:38,49.75,142.8333,8.87,83,20,7.11
138,Dharchula,IN,2022-02-02 06:49:39,29.85,80.5333,62.42,30,0,6.26
139,Sangar,RU,2022-02-02 06:49:39,63.9242,127.4739,-24.56,98,100,0.43
140,Tiksi,RU,2022-02-02 06:49:40,71.6872,128.8694,-5.8,98,100,9.37
141,Myrtle Beach,US,2022-02-02 06:49:40,33.6891,-78.8867,44.64,80,0,5.75
142,Hambantota,LK,2022-02-02 06:49:41,6.1241,81.1185,86.34,62,40,5.75
143,Nouadhibou,MR,2022-02-02 06:49:41,20.931,-17.0347,70.14,51,100,12.33
144,Barao De Melgaco,BR,2022-02-02 06:49:42,-16.1944,-55.9675,73.92,98,100,5.66
145,Port-Gentil,GA,2022-02-02 06:49:42,-0.7193,8.7815,80.56,89,40,1.14
146,Bethel,US,2022-02-02 06:49:41,41.3712,-73.414,34.16,77,100,0.0
147,Constitucion,CL,2022-02-02 06:45:56,-35.3333,-72.4167,55.67,91,8,4.81
148,Manizales,CO,2022-02-02 06:49:43,5.0689,-75.5174,52.3,92,40,3.65
149,Anadyr,RU,2022-02-02 06:49:44,64.75,177.4833,10.9,72,0,25.99
150,Mount Gambier,AU,2022-02-02 06:49:44,-37.8333,140.7667,67.91,37,40,17.27
151,Tuatapere,NZ,2022-02-02 06:49:45,-46.1333,167.6833,71.82,83,100,3.53
152,Cidreira,BR,2022-02-02 06:49:45,-30.1811,-50.2056,72.7,85,2,13.58
153,Cockburn Town,TC,2022-02-02 06:49:46,21.4612,-71.1419,74.46,78,100,19.66
154,Orange Cove,US,2022-02-02 06:49:46,36.6244,-119.3137,47.61,72,1,2.19
155,Bandarbeyla,SO,2022-02-02 06:49:47,9.4942,50.8122,79.5,63,45,18.57
156,Nioro,GM,2022-02-02 06:49:48,13.35,-15.75,72.21,17,6,6.15
157,Sao Filipe,CV,2022-02-02 06:49:48,14.8961,-24.4956,73.42,72,3,12.46
158,Emmett,US,2022-02-02 06:49:17,43.8735,-116.4993,30.09,83,11,5.28
159,Margate,GB,2022-02-02 06:49:49,51.3813,1.3862,50.97,80,100,7.0
160,Pevek,RU,2022-02-02 06:49:50,69.7008,170.3133,-6.25,75,58,3.38
161,Cacu,BR,2022-02-02 06:49:50,-18.5567,-51.1308,68.9,96,100,2.53
162,Lavrentiya,RU,2022-02-02 06:49:51,65.5833,-171.0,-1.82,85,1,14.83
163,Kiama,AU,2022-02-02 06:49:51,-34.6833,150.8667,68.38,78,100,1.01
164,Ancud,CL,2022-02-02 06:49:52,-41.8697,-73.8203,59.23,94,100,3.89
165,Bata,GQ,2022-02-02 06:49:52,1.8639,9.7658,76.86,100,40,6.91
166,Yulara,AU,2022-02-02 06:49:53,-25.2406,130.9889,69.64,88,100,14.97
167,Slave Lake,CA,2022-02-02 06:45:09,55.2834,-114.769,-11.22,77,0,4.61
168,Quesnel,CA,2022-02-02 06:49:53,52.9999,-122.5029,-7.1,84,0,0.0
169,Anloga,GH,2022-02-02 06:49:54,5.7947,0.8973,71.82,74,46,4.76
170,Saldanha,ZA,2022-02-02 06:49:54,-33.0117,17.9442,66.25,90,100,14.32
171,Pisco,PE,2022-02-02 06:49:55,-13.7,-76.2167,68.05,83,0,6.91
